2024,"1학기","강의력 좋으시고 과제는 제출하면 만점입니다 시험은 어려운 편이고 학점은 공지대로 칼같이 주십니다",100
2024,"1학기","과제가 있지만 제출만 하면 다 만점 주셔서 사실상 시험 두번으로 성적이 결정됨. 근데 상대평가에다가 +/0/- 정확하게 끊어서 주시기 때문에 고득점이 아니면 A+ 받기는 어려운 듯. 중간고사때 89점, 기말고사때 78점 받아서 B 뜰 줄 알았는데 A- 떴음. 특히 기말고사가 어려운데, 제공해주시는 연습문제보다 훨씬 어렵게 나오니까 제대로 준비하시길.. 성적은 다른 과목에 비해 잘 나오는 편은 아니지만 그래도 교수님께서 이해하기 쉽게 잘 가르쳐주셔서 만족스러운 강의였음.",100
2023,"겨울","만족스러운 강의력과 진행. 성적은 칼같이 비율 맞춰 주시며 개념복습용 과제는 아무 부담이 없습니다. 좋은것같네요.",100
2023,"겨울","교수님 정말 친절하세요! 강의력도 개인적으로 너무 좋다고 생각했습니다. 초반부는 통계학입문 복습 느낌이라 통입 잘 해두셨으면 편하실거같아요. 후반부는 분산, 회귀분석 위주로 얕게 들어가는데 교수님이 자세히 설명해주셔서 수업 잘 들으면 쉽게 이해할 수 있는거 같습니다 총합 95.x로 에쁠 받았습니다! 에제 받을 수 있을거라 생각했는데 에쁠인거 보니 성적도 그리 빡빡하게 주시진 않은거같아요..!",100
2023,"겨울","중간고사까지는 통계학입문에서 배운 내용(분포, 추정, 일표본/이표본 t검정, 카이제곱/F검정) 복습이고, 기말고사까지는 분산분석, 선형회귀분석 계절이라 그런지 내용이 잘 들어오고 연결성이 있었음 성적이 칼 같아서 불만일 순 있겠지만 솔직히 강의력은 굳 성격이 차가워보일 순 있는데 적응되면 괜찮음",100
2023,"2학기","교수님 수업은 집중만 잘하고 복습 틈틈히하면 따라가는데 전혀 지장없습니다. 과제를 다섯개 정도 내주시는데 과제하면서 복습하며 따라가면 충분히 좋은 성적 받으실 수 있습니다. 성적은 비율대로 상대평가로 주시고 분반 별로 따로 성적 산출하니 참고하시기 바랍니다.",100
2023,"1학기","열심히 한 만큼 성적 나오는 것 같아요 성실하게 꼼꼼하게 공부하면 잘 나올 듯 합니다!",100
2022,"2학기","통방에 대해서 잘 배울수 있고 공부도 열심히 하면 학점도 나름 잘 받아갈 수 있음",80
2023,"1학기","중간 77 기말 85로 A- 받았습니다 빡세지만 성적 컷은 널널합니다",100
2023,"1학기","수업 좋았어요 저는 통입만 듣고 들었는데, 통입 선수는 필수인 것 같습니다. R에 대해서도 기본적인 것들애 대해 배울 수 있어서 좋았습니다. 교수님이 알기 쉬운 예제로 분산분석, 회귀분석을 설명을 시작하셔서 이해하기 쉽습니다! 문제도 조금 깐깐한 느낌이 있지만 깔끔합니다. 그리고 수업 중에 가끔씩 동기부여차원의 말씀을 나름 하시는데 전 도움 많이 됐습니다 ㅎㅎ 통방은 정종희 교수님 수업으로 듣길 정말 잘한 것 같아요 과제 채점은 정말 꼼꼼하게 하나하나 피드백까지 다 주십니다. 중간 85 기말 100으로 A+ 맞고 갑니다!",100
