"year","semester","review","score"
2024,"1학기","내 인생 최고의 꿀강. 그래서 강철이름만 보고 수강신청을 하였으나,, 다른 교수님도 계셨다는 사실을 뒤늦게 알게 해준 교수님",100
2024,"여름","고딩 시절 사탐 내신 대비하듯이 하면 됨. 수업 잘 듣고 필기 정리한 다음 기출 구해서 회독 돌리면 무난히 에이쁠. 변수가 거의 없음. 안심하고 들으면 될듯",100
2024,"여름","너희가 생각한 것보단 꿀강 아닐 가능성이 높다. 중기말 족보만 달달 외우면 된다. 여기서 족보를 외운다함은 답만 외우는 것이 아니라 문제에 포함되어 있는 내용까지 빈칸 채우기가 나온다는 느낌으로 외워야 한다. 시험이 기출에서 연계가 많이 되지만 약간씩 변형된다 여름에는 한 50문제 중 10문제 변형됨. 다만 난 기출만 외우지 말고, 1. 수업 잘 듣고, 2. 기출에 있는 정답아닌 선지들 개념 숙지, 3. 기출에서 나온 작품들 교수님이 설명하신 내용 외우기 를 추천한다. 기출연계 많이 되지만, 기출에서 나왔던 개념의 다른 부분이 출재 될 수 있다. 수업 듣는 것을 벼락치기 할 당신을 위해 추천한다. 교수님이 수업시간에 강조한 내용 시험에 정말 많이 나온다. 계절은 개꿀같다. 9시에 위당관 가는 것만 뺀다면..",100
2024,"1학기","대 영 이 수강신청만 성공하면 에쁠 받으실 수 있습니다..",100
2024,"1학기","꿀강 대 강철 초합금 강철 족보에서 대부분 출제하십니다. 적보만 통암기해가면 A+ 문제없이 받아갑니다. 올해 에쁠컷 많이 내려주신듯 합니다.",100
2024,"1학기","최고의 강의 수업 꽤 재밌고, 호불호 갈릴 수 있겠지만 전자출결 늦게 해주셔서 좋았습니다 중간은 강의안 읽고 족보 훑었고, 기말은 족보 위주로 봤더니 합쳐서 5개 이하로 틀렸습니다 중간에 감도 익힐 겸 공부 좀 해서 만점 가까이 받으시면 기말에 부담 훨 덜할 거예요",100
2024,"1학기","그냥 무조건 들어야하는 강의 족보 보고 출석만 챙겨도 손쉽게 A+을 받을 수 있음 강의 내용도 들으면 재밌음 꿀강+명강",100
2024,"1학기","갓. 말이 필요없음 말해 뭐해. I LOVE YOU 교수님",100
2024,"1학기","유명한 데에는 이유가 있는 수업. 시험 자체도 족보만 있으면 하루 전에 공부해도 무리 없음. 학점과는 별개로 영화 좋아하는 사람이면 재밌게 들을 수 있는 수업임. 출석은 잘 챙기기, 감점 세요.",100
2024,"1학기","꿀강은 꿀강인 이유가 있습니다. 사람들이 괜히 말하는게 아닙니다.",100
2024,"1학기","이 수업 A+을 받는 단계는 두 가지가 있다. 1. 족보를 구한다. 2. 외운다.",100
2024,"1학기","교양 A+ 받는 방법은 두 가지가 있다 평범한 과목 잡아서 뭐 빠지게 공부하거나 이 과목을 잡거나",100
2024,"1학기","중간기말 총 14개 틀리고 동강 결석으로 1점 감점, 최종 87.8점으로 A+ 받아갑니다 강의 내용이 재밌어서 강의는 열심히 들었고 시험 당일 새벽부터 벼락치기 했습니다. 강철 교수님은 천사십니다. 시험은 족보를 꼭 구해서 준비허시면 수월할 것 같습니다.",100
2024,"1학기","최고의 교양...... 교수님 너무 친절하시고 좋음 수업도 재밌어요 교수님이 성적 잘주고싶어하심 출석은 녹강 1번(1시간) 놓쳤고 시험은 중간 2개 기말 6개 틀림. A+받았어요. 족보 구해서 3개년치+필기본 약간 만 외우시면 됩니다. 양이 많아서 미리 조금씩 해놓으면 좋을거같은데 전 그냥 벼락치기 했어요. 수업시간에 중요하다고 하시는거는 꼭 나오는 것 같은데 저도 수업을 열심히 듣지는 않았습니다. 개인적으로 영화 좋아하는데 아는 영화 많이 나와서 중간중간 재미있었음. 출석방식은 그 전자출결 숫자 찍는걸로 합니다.",100
2024,"1학기","수업은 첫 수업 빼고 all 출튀함 시험 전날 족보 3회독하면 a쁠 확정 ㅋㅋ 출석점수가 ㅈㄴ 크므로 결석은 하지 말자 참고로 난 중간 4개, 기말 2개 틀리고 대면수업 결석 1번 하고 a+받음",100
2024,"1학기","이 수업을 미리 알지 못했다는 게 억울할따름... 조별과제 없고 그냥 족보만 보면 A+ 확정",100
2024,"1학기","갓철 중간기말 보고 과제는 없는데 시험이 족보 복붙이라 직전 두 시간 정도만 투자하면 만점 쌉가능입니다 최소의 노력으로 가장 쉽게 A+ 받아갈 수 있는 꿀강 꼭 들으세요",100
2024,"1학기","대. 강. 철. 수업 중간중간 이론 관련된 영화 클립 보여주고 설명해주시는데 재밌어요 원래 영화 좋아하는 사람은 더 즐거울 듯",100
2024,"1학기","꼭 들으십쇼... 족보 그대로 나오고, 시험도 객관식 4지선다에 하나만 고르면 되는 이 꿀강을 놓치면 손해입니다. 시험도 쉬운데 성적 컷도 굉장히 널널합니다.",100
2024,"1학기","솔직히 말이 안되는 꿀강입니다 맘만 먹으면 출튀도 가능하지만 내용이 너무 유익해요 이 강의로 영화보는 취미를 갖게 됐습니다 ㅎㅎ 꿀강이자 명강이에요 풀마 박을 가치 충분",100
2024,"1학기","긴말 안하겠습니다. 족보 사서 달달이 외우세요. 그 외에도 영화에 대해 알고 싶으시다면 듣는거 추천",100
2024,"1학기","수신 성공하였다면 A+은 그대의 것! 족보구해서 많이 읽고 풀어보세요!",100
2024,"1학기","시험쉽고 성적 너그러우십니다!! 꼭 듣는거 추천!",100
